id,cidade,cidade_estado,latitude,longitude,estado,valor
1,ACRELANDIA,ACRELANDIA - AC,-9.82,-66.88,AC,39560.03891
2,ASSIS BRASIL,ASSIS BRASIL - AC,-10.94,-69.56,AC,17842.15099
3,BRASILEIA,BRASILEIA - AC,-11.01,-68.74,AC,93373.39431
4,BUJARI,BUJARI - AC,-9.83,-67.95,AC,28516.56749
5,CAPIXABA,CAPIXABA - AC,-10.57,-67.67,AC,18886.45514
6,CRUZEIRO DO SUL,CRUZEIRO DO SUL - AC,-7.63,-72.67,AC,364586.1383
7,EPITACIOLANDIA,EPITACIOLANDIA - AC,-11.02,-68.74,AC,60489.73992
8,FEIJO,FEIJO - AC,-8.16,-70.35,AC,140665.2479
9,JORDAO,JORDAO - AC,-9.43,-71.88,AC,25407.1545
10,MANCIO LIMA,MANCIO LIMA - AC,-7.61,-72.89,AC,55464.22245
11,MANOEL URBANO,MANOEL URBANO - AC,-8.83,-69.26,AC,36200.02439
12,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO - AC,-8.94,-72.79,AC,50555.10106
13,PLACIDO DE CASTRO,PLACIDO DE CASTRO - AC,-10.27,-67.15,AC,83591.73849
14,PORTO ACRE,PORTO ACRE - AC,-9.58,-67.53,AC,51717.89396
15,PORTO WALTER,PORTO WALTER - AC,-8.26,-72.74,AC,35809.97762
16,RIO BRANCO,RIO BRANCO - AC,-9.97,-67.81,AC,1476048.62
17,RODRIGUES ALVES,RODRIGUES ALVES - AC,-7.74,-72.64,AC,54883.18757
18,SANTA ROSA DO PURUS,SANTA ROSA DO PURUS - AC,-9.43,-70.49,AC,10990.21933
19,SENA MADUREIRA,SENA MADUREIRA - AC,-9.06,-68.65,AC,155217.0055
20,SENADOR GUIOMARD,SENADOR GUIOMARD - AC,-10.15,-67.73,AC,88074.5791
21,TARAUACA,TARAUACA - AC,-8.16,-70.76,AC,152932.1275
22,XAPURI,XAPURI - AC,-10.65,-68.5,AC,84617.85017
23,AGUA BRANCA,AGUA BRANCA - AL,-9.26,-37.93,AL,114328.5131
24,ANADIA,ANADIA - AL,-9.68,-36.3,AL,107939.8285
25,ARAPIRACA,ARAPIRACA - AL,-9.75,-36.66,AL,1040633.644
26,ATALAIA,ATALAIA - AL,-9.5,-36.02,AL,256028.8436
27,BARRA DE SANTO ANTONIO,BARRA DE SANTO ANTONIO - AL,-9.4,-35.5,AL,56980.26168
28,BARRA DE SAO MIGUEL,BARRA DE SAO MIGUEL - AL,-9.84,-35.9,AL,37840.14071
29,BATALHA,BATALHA - AL,-9.67,-37.12,AL,85456.7204
30,BELEM,BELEM - AL,-9.57,-36.49,AL,35555.01859
31,BELO MONTE,BELO MONTE - AL,-9.82,-37.28,AL,41688.04103
32,BOCA DA MATA,BOCA DA MATA - AL,-9.64,-36.22,AL,133949.7474
33,BRANQUINHA,BRANQUINHA - AL,-9.24,-36.01,AL,64397.61932
34,CACIMBINHAS,CACIMBINHAS - AL,-9.4,-36.99,AL,59926.11939
35,CAJUEIRO,CAJUEIRO - AL,-9.39,-36.15,AL,118961.2233
36,CAMPESTRE,CAMPESTRE - AL,-8.84,-35.56,AL,43221.24914
37,CAMPO ALEGRE,CAMPO ALEGRE - AL,-9.78,-36.35,AL,261420.0667
38,CAMPO GRANDE,CAMPO GRANDE - AL,-9.95,-36.79,AL,63902.9201
39,CANAPI,CANAPI - AL,-9.12,-37.6,AL,111852.9448
40,CAPELA,CAPELA - AL,-9.4,-36.07,AL,139295.5462
41,CARNEIROS,CARNEIROS - AL,-9.48,-37.37,AL,37924.70365
42,CHA PRETA,CHA PRETA - AL,-9.25,-36.29,AL,47759.93799
43,COITE DO NOIA,COITE DO NOIA - AL,-9.63,-36.57,AL,65066.04955
44,COLONIA LEOPOLDINA,COLONIA LEOPOLDINA - AL,-8.9,-35.72,AL,117899.2748
45,COQUEIRO SECO,COQUEIRO SECO - AL,-9.63,-35.8,AL,34157.95789
46,CORURIPE,CORURIPE - AL,-10.12,-36.17,AL,292231.0139
47,CRAIBAS,CRAIBAS - AL,-9.61,-36.76,AL,117417.8934
48,DELMIRO GOUVEIA,DELMIRO GOUVEIA - AL,-9.38,-37.99,AL,245993.5408
49,DOIS RIACHOS,DOIS RIACHOS - AL,-9.39,-37.1,AL,71876.63598
50,ESTRELA DE ALAGOAS,ESTRELA DE ALAGOAS - AL,-9.39,-36.76,AL,104154.5852
51,FEIRA GRANDE,FEIRA GRANDE - AL,-9.9,-36.67,AL,126279.5596
52,FELIZ DESERTO,FELIZ DESERTO - AL,-10.29,-36.3,AL,25815.50423
53,FLEXEIRAS,FLEXEIRAS - AL,-9.27,-35.71,AL,76177.3897
54,GIRAU DO PONCIANO,GIRAU DO PONCIANO - AL,-9.88,-36.82,AL,181129.1735
55,IBATEGUARA,IBATEGUARA - AL,-8.97,-35.93,AL,97377.44856
56,IGACI,IGACI - AL,-9.53,-36.63,AL,153070.7163
57,IGREJA NOVA,IGREJA NOVA - AL,-10.12,-36.66,AL,134319.8622
58,INHAPI,INHAPI - AL,-9.21,-37.75,AL,98409.71205
59,JACARE DOS HOMENS,JACARE DOS HOMENS - AL,-9.63,-37.2,AL,31871.45381
60,JACUIPE,JACUIPE - AL,-8.84,-35.46,AL,46227.5453
61,JAPARATINGA,JAPARATINGA - AL,-9.08,-35.25,AL,41056.49875
62,JARAMATAIA,JARAMATAIA - AL,-9.65,-37,AL,31131.71224
63,JOAQUIM GOMES,JOAQUIM GOMES - AL,-9.13,-35.74,AL,128297.0709
64,JUNDIA,JUNDIA - AL,-8.93,-35.57,AL,28772.1232
65,JUNQUEIRO,JUNQUEIRO - AL,-9.92,-36.47,AL,142524.6018
66,LAGOA DA CANOA,LAGOA DA CANOA - AL,-9.83,-36.73,AL,115758.7545
67,LIMOEIRO DE ANADIA,LIMOEIRO DE ANADIA - AL,-9.74,-36.5,AL,122008.7357
68,MACEIO,MACEIO - AL,-9.66,-35.73,AL,723230
69,MAJOR ISIDORO,MAJOR ISIDORO - AL,-9.53,-36.98,AL,115410.2849
70,MAR VERMELHO,MAR VERMELHO - AL,-9.44,-36.38,AL,29782.2317
71,MARAGOGI,MARAGOGI - AL,-9.01,-35.22,AL,101743.6404
72,MARAVILHA,MARAVILHA - AL,-9.23,-37.35,AL,86998.22856
73,MARECHAL DEODORO,MARECHAL DEODORO - AL,-9.71,-35.89,AL,175330.4915
74,MARIBONDO,MARIBONDO - AL,-9.57,-36.3,AL,88605.36439
75,MATA GRANDE,MATA GRANDE - AL,-9.11,-37.73,AL,167555.576
76,MATRIZ DE CAMARAGIBE,MATRIZ DE CAMARAGIBE - AL,-9.15,-35.53,AL,142500.6232
77,MESSIAS,MESSIAS - AL,-9.38,-35.84,AL,70701.99562
78,MINADOR DO NEGRAO,MINADOR DO NEGRAO - AL,-9.3,-36.86,AL,32898.47401
79,MONTEIROPOLIS,MONTEIROPOLIS - AL,-9.6,-37.24,AL,42542.28742
80,MURICI,MURICI - AL,-9.3,-35.94,AL,142537.8513
81,NOVO LINO,NOVO LINO - AL,-8.91,-35.64,AL,71238.27995
82,OLHO D'AGUA DAS FLORES,OLHO D'AGUA DAS FLORES - AL,-9.53,-37.29,AL,112223.263
83,OLHO D'AGUA DO CASADO,OLHO D'AGUA DO CASADO - AL,-9.5,-37.83,AL,41443.88799
84,OLHO D'AGUA GRANDE,OLHO D'AGUA GRANDE - AL,-10.05,-36.81,AL,27696.59156
85,OLIVENCA,OLIVENCA - AL,-9.51,-37.19,AL,64589.40629
86,OURO BRANCO,OURO BRANCO - AL,-9.16,-37.35,AL,61094.59066
87,PALESTINA,PALESTINA - AL,-9.67,-37.32,AL,26919.98357
88,PALMEIRA DOS INDIOS,PALMEIRA DOS INDIOS - AL,-9.4,-36.62,AL,421030.2492
89,PAO DE ACUCAR,PAO DE ACUCAR - AL,-9.74,-37.43,AL,162527.1203
90,PARICONHA,PARICONHA - AL,-9.25,-38,AL,56773.8689
91,PARIPUEIRA,PARIPUEIRA - AL,-9.46,-35.55,AL,43322.23285
92,PASSO DE CAMARAGIBE,PASSO DE CAMARAGIBE - AL,-9.23,-35.49,AL,92366.27633
93,PAULO JACINTO,PAULO JACINTO - AL,-9.36,-36.37,AL,61136.27194
94,PENEDO,PENEDO - AL,-10.29,-36.58,AL,374739.2111
95,PIACABUCU,PIACABUCU - AL,-10.4,-36.43,AL,98727.07509
